"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    WHITE NON-HISPANIC MALE POPULATION AGE 36 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",23.426,23.781,23.690,24.610,24.340,23.910,23.815,23.009,22.619,21.436,20.940,21.137,18.963,18.150,17.586,17.197,18.439,16.954,15.792,14.921,14.662,15.534,15.165,16.051,16.273,16.316,17.148,16.801,17.062,16.908,17.069,18.119,17.821,17.911,18.536,18.045,18.628,17.600,16.819,15.637,14.608,13.747,12.321,11.589,11.969,11.987,12.498,11.900,11.051,10.980,11.099,10.892,10.506,10.203,10.229,10.041,10.503,10.770,10.575,10.197,10.490,10.614,10.460,10.210,10.286,10.276,9.096,9.188,9.225,9.033,8.938
"    WHITE NON-HISPANIC MALE POPULATION AGE 37 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",23.155,23.383,23.760,23.574,24.302,23.917,23.504,23.225,22.514,21.957,20.873,20.322,20.379,18.166,17.319,16.718,16.443,17.693,16.284,15.133,14.329,14.529,15.360,14.898,15.645,15.833,15.796,16.665,16.256,16.591,16.466,16.962,17.634,17.575,17.663,18.280,17.794,18.364,17.337,16.564,15.400,14.377,13.521,12.111,11.385,11.762,11.781,12.284,11.690,10.850,10.779,10.895,10.691,10.310,10.009,10.037,9.855,10.311,10.576,10.382,10.012,10.305,10.429,10.279,10.035,10.113,10.108,8.938,9.030,9.068,8.877
"    WHITE NON-HISPANIC MALE POPULATION AGE 38 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",21.466,21.373,21.798,22.204,22.084,22.846,22.668,22.300,22.293,21.601,21.090,20.351,19.674,19.749,17.566,16.718,16.173,16.100,17.304,15.994,14.918,14.028,14.264,15.075,14.598,15.234,15.352,15.358,16.204,15.856,16.152,16.236,16.613,17.498,17.434,17.521,18.133,17.643,18.200,17.174,16.410,15.253,14.228,13.377,11.976,11.254,11.626,11.642,12.138,11.546,10.712,10.640,10.752,10.550,10.171,9.871,9.901,9.721,10.172,10.435,10.242,9.880,10.170,10.292,10.145,9.905,9.984,9.983,8.821,8.912,8.947
"    WHITE NON-HISPANIC MALE POPULATION AGE 39 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",22.901,23.713,23.413,23.497,23.568,23.119,23.644,23.100,22.569,22.179,21.503,20.666,19.749,19.155,19.143,17.080,16.164,15.801,15.804,17.035,15.918,14.769,13.886,14.105,14.846,14.336,14.853,15.005,15.034,15.798,15.574,15.971,15.838,16.424,17.297,17.235,17.322,17.925,17.432,17.976,16.954,16.194,15.044,14.024,13.177,11.792,11.075,11.439,11.456,11.945,11.358,10.532,10.457,10.567,10.368,9.993,9.699,9.730,9.553,9.997,10.259,10.070,9.716,10.002,10.124,9.979,9.744,9.826,9.830,8.678,8.768
"  WHITE NON-HISPANIC MALE POPULATION AGE 40 to 44 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",102.975,107.165,105.420,105.610,105.997,106.313,106.898,107.231,107.975,107.685,106.791,105.973,103.502,99.972,96.439,92.611,88.435,84.659,81.979,79.672,78.437,77.983,77.092,75.183,72.944,70.763,68.518,68.257,69.101,69.803,70.706,72.017,72.807,74.427,76.331,78.267,80.112,81.602,83.581,84.507,85.140,84.825,83.643,80.759,77.359,72.651,67.597,62.583,59.050,56.554,55.373,54.933,54.359,53.370,52.475,50.931,49.610,48.792,48.090,47.127,46.802,47.092,47.475,47.465,47.901,48.034,47.772,47.483,47.606,47.472,46.083
"    WHITE NON-HISPANIC MALE POPULATION AGE 40 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",21.863,21.625,22.671,22.522,22.769,23.020,22.846,23.551,23.345,22.949,22.458,20.931,20.081,19.120,18.514,18.489,16.475,15.701,15.465,15.347,16.398,15.772,14.609,13.751,13.835,14.473,13.960,14.501,14.628,14.680,15.410,15.324,15.553,15.629,16.206,17.070,17.009,17.095,17.685,17.196,17.730,16.720,15.965,14.828,13.815,12.976,11.605,10.895,11.254,11.270,11.753,11.169,10.352,10.277,10.384,10.187,9.821,9.531,9.563,9.389,9.830,10.091,9.905,9.557,9.841,9.962,9.820,9.594,9.678,9.686,8.542
"    WHITE NON-HISPANIC MALE POPULATION AGE 41 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",20.889,21.040,20.786,21.614,21.305,21.373,21.565,21.266,21.913,21.526,21.291,21.952,20.462,19.572,18.680,18.193,18.173,16.272,15.673,15.489,15.544,16.322,15.718,14.437,13.522,13.588,14.204,13.697,14.265,14.345,14.359,15.252,15.067,15.494,15.564,16.137,16.994,16.929,17.006,17.591,17.101,17.630,16.615,15.860,14.727,13.715,12.879,11.511,10.799,11.154,11.169,11.646,11.063,10.249,10.172,10.274,10.081,9.717,9.428,9.461,9.289,9.727,9.987,9.800,9.456,9.737,9.855,9.718,9.495,9.580,9.589
"    WHITE NON-HISPANIC MALE POPULATION AGE 42 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",20.741,20.429,20.726,20.496,21.304,21.051,21.222,21.466,21.364,21.994,21.605,21.011,21.525,20.057,19.118,18.139,17.778,17.827,16.101,15.505,15.257,15.446,16.231,15.617,14.232,13.301,13.316,13.919,13.464,14.012,14.118,14.187,14.847,14.861,15.283,15.352,15.921,16.765,16.697,16.773,17.352,16.868,17.379,16.373,15.625,14.507,13.501,12.671,11.317,10.612,10.963,10.978,11.447,10.870,10.065,9.986,10.089,9.900,9.541,9.256,9.292,9.124,9.557,9.815,9.631,9.294,9.571,9.691,9.558,9.342,9.428
"    WHITE NON-HISPANIC MALE POPULATION AGE 43 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",22.683,20.276,20.033,20.233,19.900,20.642,20.399,20.504,20.836,20.617,21.129,21.256,20.616,20.965,19.542,18.610,17.637,17.348,17.425,15.859,15.341,15.208,15.361,16.099,15.451,14.134,13.109,13.183,13.712,13.260,13.748,13.776,13.870,14.705,14.716,15.136,15.202,15.764,16.594,16.526,16.603,17.178,16.690,17.193,16.192,15.450,14.343,13.341,12.515,11.173,10.473,10.820,10.835,11.298,10.723,9.926,9.849,9.951,9.765,9.411,9.129,9.166,9.003,9.432,9.688,9.504,9.171,9.449,9.568,9.439,9.226
"    WHITE NON-HISPANIC MALE POPULATION AGE 44 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",16.799,23.795,21.204,20.745,20.719,20.227,20.866,20.444,20.517,20.599,20.308,20.823,20.818,20.258,20.585,19.180,18.372,17.511,17.315,17.472,15.897,15.235,15.173,15.279,15.904,15.267,13.929,12.957,13.032,13.506,13.071,13.478,13.470,13.738,14.562,14.572,14.986,15.049,15.599,16.421,16.354,16.429,16.994,16.505,17.000,16.003,15.269,14.165,13.165,12.345,11.015,10.320,10.662,10.676,11.131,10.558,9.770,9.693,9.793,9.610,9.262,8.984,9.023,8.861,9.285,9.537,9.355,9.031,9.307,9.425,9.298
"  WHITE NON-HISPANIC MALE POPULATION AGE 45 to 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",82.092,81.965,88.369,89.427,91.892,94.564,98.459,96.407,96.856,97.553,98.152,98.289,98.467,98.582,98.043,96.788,95.488,93.387,90.746,88.514,86.373,83.960,81.540,79.299,77.194,75.748,74.661,73.014,70.352,68.024,65.783,62.861,62.052,62.989,64.188,65.641,67.382,68.991,70.465,72.229,74.037,75.760,77.126,78.986,79.822,80.362,79.974,78.770,75.945,72.619,68.071,63.212,58.398,55.003,52.609,51.462,51.029,50.469,49.522,48.663,47.214,45.983,45.228,44.597,43.721,43.433,43.726,44.106,44.120,44.562,44.717
"    WHITE NON-HISPANIC MALE POPULATION AGE 45 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",16.439,15.724,22.611,20.360,20.100,20.303,20.108,20.980,20.924,21.199,21.256,19.960,20.241,20.243,19.560,19.825,18.472,17.724,16.861,16.636,16.709,15.788,15.144,15.022,15.068,15.619,14.968,13.713,12.702,12.765,13.248,12.710,13.088,13.255,13.517,14.329,14.340,14.750,14.808,15.354,16.166,16.101,16.174,16.731,16.248,16.733,15.747,15.020,13.932,12.944,12.134,10.822,10.137,10.474,10.488,10.938,10.376,9.599,9.524,9.623,9.446,9.105,8.833,8.874,8.716,9.134,9.386,9.208,8.891,9.166,9.284
"    WHITE NON-HISPANIC MALE POPULATION AGE 46 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",16.412,15.834,15.119,21.586,19.287,18.911,19.053,18.746,19.565,19.353,19.639,21.011,19.709,20.066,20.031,19.475,19.734,18.565,17.897,17.132,16.996,16.672,15.726,15.075,14.981,14.900,15.464,14.806,13.498,12.610,12.613,12.963,12.494,13.032,13.195,13.452,14.256,14.263,14.665,14.718,15.264,16.068,15.997,16.066,16.618,16.134,16.611,15.623,14.896,13.814,12.827,12.021,10.715,10.032,10.365,10.377,10.825,10.263,9.493,9.416,9.515,9.340,9.003,8.732,8.773,8.616,9.030,9.281,9.103,8.791,9.064
"    WHITE NON-HISPANIC MALE POPULATION AGE 47 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",18.423,16.581,16.042,15.283,21.723,19.340,19.010,19.103,18.886,19.639,19.427,19.390,20.683,19.356,19.682,19.670,19.114,19.457,18.379,17.748,17.114,16.904,16.661,15.664,14.998,14.867,14.760,15.286,14.567,13.322,12.445,12.262,12.657,12.357,12.886,13.046,13.298,14.089,14.091,14.488,14.540,15.079,15.869,15.798,15.865,16.410,15.927,16.393,15.409,14.688,13.616,12.636,11.836,10.544,9.868,10.195,10.210,10.651,10.096,9.333,9.259,9.357,9.186,8.854,8.587,8.627,8.473,8.883,9.133,8.959,8.651
"    WHITE NON-HISPANIC MALE POPULATION AGE 48 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",15.041,17.302,15.692,15.213,14.511,20.662,18.540,18.260,18.519,18.346,19.035,19.128,19.003,20.237,18.901,19.280,19.191,18.743,19.083,18.146,17.504,17.072,16.889,16.657,15.570,14.887,14.691,14.646,15.065,14.447,13.176,12.117,11.946,12.495,12.197,12.719,12.877,13.124,13.900,13.901,14.297,14.349,14.880,15.659,15.589,15.655,16.194,15.713,16.167,15.191,14.480,13.423,12.450,11.660,10.382,9.713,10.039,10.054,10.491,9.942,9.191,9.119,9.217,9.051,8.723,8.458,8.501,8.352,8.759,9.008,8.835
"    WHITE NON-HISPANIC MALE POPULATION AGE 49 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",15.777,16.524,18.905,16.985,16.271,15.348,21.748,19.318,18.962,19.016,18.795,18.800,18.831,18.680,19.869,18.538,18.977,18.898,18.526,18.852,18.050,17.524,17.120,16.881,16.577,15.475,14.778,14.563,14.520,14.880,14.301,12.809,11.867,11.850,12.393,12.095,12.611,12.765,13.001,13.768,13.770,14.163,14.206,14.732,15.502,15.430,15.495,16.021,15.541,15.982,15.014,14.310,13.260,12.293,11.506,10.239,9.579,9.902,9.918,10.349,9.803,9.062,8.989,9.086,8.922,8.598,8.336,8.382,8.234,8.638,8.883
"  WHITE NON-HISPANIC MALE POPULATION AGE 50 to 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",70.776,71.416,73.038,76.202,77.309,77.942,77.628,82.884,83.642,85.839,88.326,91.320,89.332,89.114,88.898,89.265,89.023,89.720,90.543,91.144,90.738,90.850,89.750,88.286,86.741,84.664,81.832,78.973,75.945,73.440,71.331,68.746,66.076,63.938,61.844,59.971,58.229,58.231,59.071,60.158,61.493,63.087,64.562,65.918,67.559,69.250,70.853,72.117,73.837,74.565,75.019,74.572,73.366,70.642,67.438,63.108,58.513,53.968,50.766,48.549,47.512,47.131,46.624,45.749,44.952,43.606,42.466,41.776,41.211,40.430,40.203
"    WHITE NON-HISPANIC MALE POPULATION AGE 50 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.581,15.087,15.962,18.374,16.561,15.961,15.221,21.651,19.458,19.198,19.012,18.394,18.316,18.338,18.131,19.227,17.896,18.433,18.357,18.053,18.313,18.007,17.396,17.012,16.789,16.408,15.276,14.562,14.262,14.308,14.580,13.873,12.393,11.635,11.621,12.156,11.866,12.372,12.523,12.754,13.511,13.515,13.902,13.946,14.468,15.226,15.159,15.223,15.743,15.266,15.702,14.747,14.056,13.024,12.068,11.295,10.050,9.403,9.723,9.743,10.170,9.634,8.904,8.836,8.932,8.772,8.454,8.199,8.247,8.105,8.505
"    WHITE NON-HISPANIC MALE POPULATION AGE 51 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.177,13.996,14.457,15.212,17.377,15.574,15.002,14.215,20.256,18.101,17.924,18.681,18.123,18.025,18.057,17.916,19.084,17.895,18.532,18.511,18.143,18.246,17.967,17.359,16.910,16.705,16.309,15.170,14.481,14.163,14.057,14.251,13.661,12.361,11.604,11.587,12.119,11.828,12.324,12.473,12.705,13.454,13.455,13.840,13.879,14.398,15.150,15.078,15.137,15.650,15.175,15.601,14.647,13.959,12.932,11.975,11.208,9.970,9.324,9.643,9.663,10.090,9.555,8.831,8.761,8.855,8.697,8.384,8.130,8.179,8.037
"    WHITE NON-HISPANIC MALE POPULATION AGE 52 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.278,14.179,13.998,14.416,15.118,17.216,15.460,14.838,14.108,20.081,17.946,17.627,18.356,17.756,17.651,17.696,17.537,18.813,17.678,18.350,18.375,18.072,18.125,17.869,17.275,16.837,16.573,16.196,15.010,14.348,14.004,13.627,13.822,13.424,12.143,11.398,11.381,11.904,11.613,12.102,12.249,12.474,13.207,13.208,13.585,13.624,14.136,14.871,14.800,14.858,15.364,14.893,15.307,14.363,13.684,12.674,11.730,10.974,9.757,9.123,9.438,9.464,9.885,9.358,8.643,8.575,8.669,8.517,8.210,7.962,8.013
"    WHITE NON-HISPANIC MALE POPULATION AGE 53 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.722,14.252,14.146,13.873,14.225,14.836,16.906,15.095,14.501,13.744,19.316,17.619,17.291,18.067,17.435,17.407,17.512,17.458,18.833,17.680,18.317,18.361,18.038,18.101,17.785,17.134,16.789,16.419,16.028,14.895,14.093,13.391,13.176,13.537,13.143,11.888,11.158,11.142,11.648,11.366,11.844,11.989,12.205,12.921,12.920,13.295,13.332,13.836,14.553,14.482,14.539,15.036,14.571,14.972,14.041,13.374,12.387,11.457,10.717,9.524,8.902,9.214,9.242,9.656,9.139,8.439,8.372,8.466,8.320,8.022,7.778
"    WHITE NON-HISPANIC MALE POPULATION AGE 54 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.018,13.902,14.475,14.327,14.028,14.355,15.039,17.085,15.319,14.715,14.128,18.999,17.246,16.928,17.624,17.019,16.994,17.121,17.143,18.550,17.590,18.164,18.224,17.945,17.982,17.580,16.885,16.626,16.164,15.726,14.597,13.604,13.024,12.981,13.333,12.942,11.705,10.985,10.963,11.463,11.184,11.655,11.793,12.003,12.707,12.707,13.076,13.109,13.604,14.309,14.239,14.295,14.785,14.324,14.713,13.790,13.138,12.164,11.245,10.516,9.339,8.729,9.038,9.068,9.477,8.965,8.274,8.210,8.304,8.162,7.870
"  WHITE NON-HISPANIC MALE POPULATION AGE 55 to 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",68.201,66.253,65.514,65.547,65.536,64.308,64.044,64.503,66.665,67.098,67.407,67.987,72.191,72.938,75.280,78.630,81.088,79.602,80.205,81.130,82.543,84.074,85.748,87.380,88.054,87.684,87.298,85.658,83.809,81.617,78.769,73.614,69.490,66.442,63.881,62.219,61.023,59.356,57.365,55.447,53.799,52.262,52.286,53.057,54.040,55.248,56.668,58.010,59.218,60.713,62.275,63.733,64.885,66.473,67.121,67.519,67.071,65.927,63.423,60.478,56.551,52.382,48.263,45.389,43.429,42.555,42.237,41.789,41.017,40.317,39.125
"    WHITE NON-HISPANIC MALE POPULATION AGE 55 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.909,13.404,13.284,13.741,13.526,13.144,13.433,14.007,15.930,14.185,13.509,13.818,18.547,16.753,16.474,17.090,16.509,16.539,16.757,16.736,17.879,17.506,18.084,18.178,17.833,17.897,17.389,16.663,16.429,15.927,15.446,14.142,13.134,12.742,12.701,13.047,12.666,11.456,10.751,10.731,11.227,10.957,11.419,11.558,11.766,12.457,12.461,12.827,12.859,13.351,14.046,13.981,14.039,14.524,14.069,14.451,13.547,12.909,11.955,11.048,10.334,9.178,8.579,8.887,8.918,9.324,8.820,8.142,8.081,8.176,8.039
"    WHITE NON-HISPANIC MALE POPULATION AGE 56 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.298,13.964,13.419,13.187,13.537,13.213,12.796,12.995,13.515,15.255,13.734,13.138,13.445,18.163,16.452,16.140,16.785,16.297,16.428,16.731,16.924,17.789,17.362,17.965,17.999,17.582,17.695,17.161,16.451,16.090,15.603,14.693,13.614,12.808,12.422,12.381,12.716,12.340,11.157,10.472,10.455,10.939,10.674,11.123,11.259,11.460,12.133,12.136,12.495,12.524,13.008,13.686,13.624,13.682,14.156,13.708,14.082,13.194,12.573,11.642,10.753,10.058,8.927,8.343,8.645,8.678,9.077,8.586,7.924,7.866,7.959
"    WHITE NON-HISPANIC MALE POPULATION AGE 57 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",13.281,12.991,13.721,13.192,12.971,13.323,13.064,12.695,12.983,13.520,15.242,13.337,12.789,13.070,17.661,15.956,15.694,16.429,15.996,16.123,16.391,16.801,17.642,17.264,17.875,17.811,17.383,17.510,16.920,16.201,15.751,14.880,14.154,13.286,12.499,12.119,12.079,12.402,12.032,10.879,10.213,10.197,10.669,10.409,10.847,10.980,11.175,11.830,11.833,12.185,12.214,12.689,13.352,13.290,13.348,13.811,13.374,13.736,12.866,12.262,11.352,10.482,9.801,8.697,8.126,8.423,8.459,8.852,8.372,7.725,7.670
"    WHITE NON-HISPANIC MALE POPULATION AGE 58 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",12.775,12.292,12.131,12.840,12.369,12.188,12.617,12.419,12.166,12.479,13.147,14.848,12.980,12.419,12.676,17.220,15.478,15.336,16.165,15.801,15.918,16.207,16.682,17.471,17.084,17.600,17.543,17.079,17.217,16.577,15.775,14.914,14.242,13.725,12.883,12.119,11.752,11.711,12.021,11.662,10.547,9.902,9.885,10.345,10.095,10.522,10.655,10.844,11.477,11.483,11.829,11.858,12.323,12.972,12.913,12.971,13.429,13.001,13.357,12.510,11.925,11.043,10.193,9.532,8.454,7.897,8.191,8.229,8.617,8.147,7.515
"    WHITE NON-HISPANIC MALE POPULATION AGE 59 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.938,13.602,12.959,12.587,13.133,12.440,12.134,12.387,12.071,11.659,11.775,12.846,14.430,12.533,12.017,12.224,16.622,15.001,14.859,15.739,15.431,15.771,15.978,16.502,17.263,16.794,17.288,17.245,16.792,16.822,16.194,14.985,14.346,13.881,13.376,12.553,11.810,11.447,11.404,11.703,11.357,10.267,9.639,9.622,10.073,9.829,10.244,10.373,10.554,11.170,11.178,11.519,11.547,12.005,12.635,12.578,12.639,13.087,12.672,13.016,12.187,11.621,10.763,9.930,9.286,8.233,7.690,7.980,8.023,8.403,7.942
"  WHITE NON-HISPANIC MALE POPULATION AGE 60 to 64 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",72.691,70.666,67.911,64.578,61.470,59.072,57.001,55.761,55.632,55.437,54.467,53.983,54.720,56.672,57.164,57.204,57.476,61.484,63.093,66.170,69.930,73.277,73.124,74.104,75.282,76.868,77.931,79.243,80.234,80.159,79.210,75.377,71.927,69.487,67.117,64.531,61.770,59.046,56.424,54.239,52.845,51.819,50.364,48.633,46.995,45.633,44.385,44.450,45.134,45.989,47.039,48.260,49.436,50.491,51.816,53.232,54.554,55.605,57.046,57.656,58.061,57.696,56.729,54.567,52.004,48.613,45.000,41.425,38.956,37.329,36.655
"    WHITE NON-HISPANIC MALE POPULATION AGE 60 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.809,14.065,12.905,12.356,12.023,12.601,12.049,11.792,12.168,11.918,11.570,11.368,12.341,13.885,11.998,11.509,11.661,15.985,14.429,14.329,15.037,15.228,15.588,15.793,16.279,16.987,16.546,17.030,16.904,16.418,16.426,15.270,14.270,13.842,13.395,12.910,12.119,11.398,11.048,11.009,11.302,10.966,9.913,9.308,9.296,9.734,9.503,9.906,10.030,10.206,10.805,10.817,11.150,11.179,11.627,12.243,12.194,12.258,12.698,12.293,12.630,11.828,11.285,10.454,9.641,9.017,7.993,7.468,7.757,7.802,8.176
"    WHITE NON-HISPANIC MALE POPULATION AGE 61 YEARS (in thousands)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",14.505,14.376,13.628,12.419,11.795,11.407,11.949,11.350,11.111,11.407,11.227,11.214,11.075,12.101,13.654,11.813,11.415,11.706,16.257,14.788,14.644,14.816,14.983,15.355,15.529,16.001,16.632,16.273,16.730,16.545,15.980,15.503,14.688,13.906,13.484,13.050,12.574,11.801,11.096,10.752,10.714,10.997,10.667,9.640,9.053,9.040,9.468,9.240,9.629,9.753,9.921,10.502,10.514,10.843,10.868,11.308,11.911,11.864,11.929,12.361,11.966,12.294,11.512,10.986,10.176,9.379,8.771,7.773,7.261,7.547,7.593
