"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    TOTAL MALE POPULATION AGE 65 YEARS (in thousands)","n.a.",0.645,0.665,0.701,0.754,0.776,0.837,0.830,0.861,0.890,0.913,0.937,0.928,0.935,0.946,0.930,0.944,0.978,0.988,0.951,0.972,0.989,0.995,1.024,1.073,1.080,1.125,1.146,1.120,1.152,1.160,1.264,1.317,1.477,1.587,1.737,1.722,1.876,2.241,2.468,2.322,2.286,2.292,3.192,2.994,2.857,2.954,3.121,3.227,3.341,3.361,3.603,3.610,3.721,3.921,4.041,4.054,4.137,4.190,4.346,4.428,4.483,4.333,4.293,4.305,4.458,4.736,4.646,4.370,4.330,4.058,4.307,4.036,4.138,4.058,4.123,4.439,4.328,4.285,4.172,4.194,4.298,4.154,4.119,4.212,4.190,4.615,4.745,4.889,5.191,5.229,5.448
"    TOTAL MALE POPULATION AGE 66 YEARS (in thousands)","n.a.",0.590,0.606,0.636,0.663,0.697,0.723,0.768,0.756,0.778,0.799,0.819,0.826,0.825,0.845,0.868,0.864,0.893,0.941,0.963,0.939,0.980,1.013,1.010,1.034,1.101,1.102,1.153,1.160,1.147,1.152,1.158,1.265,1.301,1.480,1.560,1.673,1.716,1.800,2.141,2.361,2.242,2.249,2.264,3.125,2.916,2.774,2.864,3.019,3.152,3.253,3.288,3.493,3.526,3.688,3.878,4.000,4.012,4.090,4.147,4.299,4.380,4.439,4.292,4.252,4.266,4.415,4.691,4.603,4.330,4.295,4.031,4.281,4.016,4.117,4.040,4.100,4.419,4.309,4.270,4.162,4.184,4.287,4.147,4.108,4.201,4.178,4.599,4.723,4.867,5.165,5.205
"    TOTAL MALE POPULATION AGE 67 YEARS (in thousands)","n.a.",0.570,0.577,0.594,0.612,0.622,0.652,0.666,0.698,0.672,0.684,0.706,0.727,0.743,0.759,0.793,0.834,0.844,0.887,0.951,0.989,0.976,1.016,1.036,1.037,1.078,1.126,1.128,1.172,1.190,1.143,1.135,1.168,1.253,1.288,1.475,1.520,1.652,1.672,1.729,2.071,2.297,2.203,2.213,2.236,3.060,2.856,2.705,2.807,2.933,3.055,3.164,3.234,3.429,3.511,3.672,3.874,3.986,4.001,4.080,4.132,4.282,4.366,4.420,4.271,4.229,4.244,4.394,4.664,4.580,4.310,4.272,4.004,4.256,3.994,4.098,4.020,4.082,4.401,4.294,4.255,4.144,4.172,4.281,4.138,4.106,4.204,4.184,4.609,4.735,4.879,5.172
"    TOTAL MALE POPULATION AGE 68 YEARS (in thousands)","n.a.",0.477,0.507,0.535,0.563,0.584,0.611,0.652,0.674,0.714,0.693,0.725,0.737,0.744,0.748,0.754,0.780,0.806,0.811,0.841,0.890,0.928,0.910,0.941,0.968,0.967,0.990,1.044,1.042,1.082,1.067,1.044,1.146,1.144,1.253,1.284,1.427,1.531,1.610,1.603,1.645,1.965,2.260,2.166,2.176,2.205,3.029,2.801,2.662,2.754,2.861,2.961,3.096,3.125,3.361,3.441,3.598,3.798,3.910,3.923,4.002,4.051,4.204,4.283,4.341,4.197,4.157,4.175,4.323,4.588,4.507,4.248,4.215,3.952,4.198,3.945,4.050,3.973,4.035,4.351,4.249,4.211,4.105,4.131,4.243,4.106,4.075,4.172,4.155,4.577,4.701,4.842
"    TOTAL MALE POPULATION AGE 69 YEARS (in thousands)","n.a.",0.498,0.485,0.518,0.541,0.553,0.573,0.592,0.621,0.634,0.664,0.636,0.655,0.666,0.676,0.687,0.700,0.728,0.762,0.765,0.803,0.862,0.891,0.888,0.915,0.951,0.963,1.005,1.060,1.068,1.091,1.076,1.012,1.132,1.140,1.259,1.272,1.466,1.506,1.601,1.576,1.668,1.930,2.201,2.101,2.118,2.144,2.940,2.745,2.606,2.693,2.784,2.872,3.012,3.081,3.316,3.395,3.548,3.745,3.852,3.866,3.943,3.990,4.139,4.221,4.276,4.133,4.094,4.107,4.253,4.516,4.437,4.183,4.150,3.890,4.136,3.887,3.992,3.918,3.982,4.294,4.193,4.158,4.056,4.082,4.194,4.059,4.032,4.127,4.109,4.527,4.647
"  TOTAL MALE POPULATION AGE 70 to 74 YEARS (in thousands)","n.a.",2.079,2.058,2.074,2.132,2.163,2.213,2.278,2.357,2.416,2.476,2.571,2.640,2.701,2.758,2.821,2.882,2.945,3.033,3.125,3.223,3.346,3.501,3.681,3.810,3.979,4.148,4.286,4.401,4.602,4.647,4.726,4.883,4.968,5.211,5.405,5.441,5.714,5.989,6.279,6.616,6.903,7.211,7.743,8.428,8.926,9.450,9.904,10.790,11.269,11.680,12.193,12.633,12.476,12.816,13.403,14.091,14.743,15.418,16.117,16.840,17.340,17.839,18.241,18.619,18.964,19.346,19.514,19.599,19.569,19.619,19.878,20.172,20.249,20.292,19.952,19.630,19.139,18.998,18.806,18.907,19.097,19.402,19.566,19.696,19.804,19.734,19.626,19.523,19.608,19.637,19.987
"    TOTAL MALE POPULATION AGE 70 YEARS (in thousands)","n.a.",0.508,0.490,0.483,0.511,0.522,0.535,0.547,0.559,0.578,0.584,0.623,0.638,0.651,0.659,0.670,0.679,0.691,0.721,0.749,0.754,0.793,0.878,0.911,0.897,0.947,0.991,1.007,1.044,1.117,1.103,1.140,1.065,0.991,1.119,1.125,1.219,1.263,1.419,1.436,1.517,1.525,1.631,1.907,2.157,2.042,2.052,2.079,2.879,2.709,2.549,2.636,2.738,2.825,3.003,3.073,3.307,3.386,3.537,3.731,3.840,3.852,3.928,3.977,4.124,4.205,4.255,4.113,4.074,4.085,4.230,4.493,4.410,4.157,4.126,3.870,4.113,3.868,3.973,3.900,3.964,4.276,4.178,4.143,4.042,4.072,4.181,4.051,4.022,4.121,4.099,4.517
"    TOTAL MALE POPULATION AGE 71 YEARS (in thousands)","n.a.",0.442,0.457,0.449,0.443,0.465,0.484,0.496,0.510,0.518,0.537,0.543,0.561,0.578,0.595,0.610,0.625,0.640,0.658,0.690,0.727,0.736,0.754,0.807,0.827,0.818,0.843,0.870,0.876,0.907,0.933,0.916,1.153,1.057,1.010,1.134,1.137,1.256,1.260,1.428,1.451,1.518,1.523,1.588,1.880,2.124,2.034,2.010,2.047,2.802,2.662,2.477,2.499,2.578,2.702,2.869,2.937,3.166,3.240,3.384,3.564,3.671,3.679,3.750,3.801,3.940,4.018,4.070,3.932,3.896,3.911,4.050,4.304,4.230,3.988,3.963,3.719,3.954,3.721,3.824,3.755,3.813,4.114,4.021,3.989,3.894,3.924,4.028,3.906,3.876,3.972,3.949
"    TOTAL MALE POPULATION AGE 72 YEARS (in thousands)","n.a.",0.387,0.393,0.415,0.413,0.403,0.432,0.450,0.463,0.473,0.485,0.516,0.528,0.535,0.546,0.557,0.567,0.575,0.584,0.593,0.623,0.665,0.685,0.710,0.779,0.806,0.794,0.835,0.865,0.871,0.887,0.924,0.909,1.126,1.032,1.002,1.054,1.089,1.170,1.181,1.312,1.393,1.461,1.490,1.542,1.851,2.102,1.997,1.953,1.988,2.727,2.577,2.309,2.396,2.511,2.628,2.790,2.858,3.081,3.155,3.296,3.468,3.573,3.584,3.654,3.703,3.840,3.914,3.970,3.839,3.804,3.822,3.959,4.207,4.138,3.905,3.884,3.646,3.881,3.652,3.755,3.691,3.751,4.048,3.954,3.926,3.836,3.865,3.971,3.852,3.819,3.917
"    TOTAL MALE POPULATION AGE 73 YEARS (in thousands)","n.a.",0.365,0.355,0.370,0.395,0.387,0.385,0.416,0.432,0.443,0.457,0.465,0.479,0.492,0.504,0.517,0.530,0.545,0.558,0.572,0.584,0.605,0.621,0.663,0.689,0.755,0.791,0.802,0.841,0.882,0.878,0.903,0.890,0.908,1.126,1.035,1.016,1.093,1.085,1.179,1.180,1.277,1.346,1.427,1.450,1.497,1.804,2.046,1.919,1.906,1.909,2.644,2.509,2.266,2.388,2.502,2.617,2.779,2.848,3.070,3.141,3.282,3.454,3.559,3.566,3.635,3.685,3.819,3.893,3.947,3.816,3.781,3.799,3.935,4.184,4.113,3.881,3.861,3.628,3.861,3.634,3.738,3.674,3.734,4.031,3.938,3.910,3.823,3.852,3.956,3.841,3.809
"    TOTAL MALE POPULATION AGE 74 YEARS (in thousands)","n.a.",0.377,0.363,0.357,0.370,0.386,0.377,0.369,0.393,0.404,0.413,0.424,0.434,0.445,0.454,0.467,0.481,0.494,0.512,0.521,0.535,0.547,0.563,0.590,0.618,0.653,0.729,0.772,0.775,0.825,0.846,0.843,0.866,0.886,0.924,1.109,1.015,1.013,1.055,1.055,1.156,1.190,1.250,1.331,1.399,1.412,1.458,1.772,1.992,1.864,1.833,1.859,2.578,2.411,2.212,2.331,2.440,2.554,2.712,2.777,2.999,3.067,3.205,3.371,3.474,3.481,3.548,3.598,3.730,3.802,3.858,3.732,3.700,3.720,3.856,4.101,4.033,3.810,3.795,3.569,3.799,3.579,3.685,3.620,3.680,3.974,3.883,3.859,3.772,3.803,3.906,3.795
"  TOTAL MALE POPULATION AGE 75 to 79 YEARS (in thousands)","n.a.",1.397,1.394,1.404,1.406,1.395,1.428,1.445,1.456,1.489,1.527,1.563,1.613,1.670,1.721,1.779,1.846,1.916,1.996,2.072,2.157,2.255,2.387,2.480,2.595,2.713,2.820,3.004,3.197,3.368,3.452,3.555,3.671,3.779,3.870,4.075,4.308,4.486,4.531,4.606,4.669,4.733,4.887,5.130,5.377,5.667,5.862,6.096,6.592,7.164,7.552,7.910,8.261,9.071,9.637,10.107,10.646,11.214,11.254,11.560,12.090,12.724,13.313,13.926,14.550,15.200,15.642,16.069,16.429,16.755,17.064,17.412,17.578,17.660,17.649,17.712,17.973,18.270,18.361,18.418,18.137,17.883,17.483,17.385,17.244,17.349,17.552,17.843,18.008,18.136,18.235,18.189
"    TOTAL MALE POPULATION AGE 75 YEARS (in thousands)","n.a.",0.345,0.337,0.331,0.327,0.336,0.359,0.350,0.341,0.364,0.374,0.390,0.405,0.420,0.435,0.449,0.468,0.487,0.507,0.524,0.544,0.567,0.589,0.602,0.627,0.660,0.690,0.758,0.788,0.786,0.802,0.815,0.828,0.859,0.862,0.923,1.086,1.004,0.972,1.006,1.022,1.113,1.149,1.215,1.277,1.357,1.346,1.397,1.730,1.933,1.788,1.764,1.817,2.555,2.422,2.222,2.339,2.450,2.564,2.719,2.785,3.006,3.075,3.213,3.372,3.476,3.482,3.547,3.596,3.724,3.795,3.846,3.721,3.687,3.705,3.837,4.079,4.010,3.785,3.767,3.546,3.775,3.554,3.657,3.600,3.656,3.949,3.858,3.832,3.750,3.781,3.885
"    TOTAL MALE POPULATION AGE 76 YEARS (in thousands)","n.a.",0.299,0.297,0.294,0.289,0.280,0.289,0.310,0.300,0.289,0.312,0.324,0.341,0.356,0.370,0.386,0.404,0.424,0.445,0.467,0.486,0.507,0.536,0.550,0.566,0.584,0.609,0.644,0.709,0.733,0.711,0.741,0.792,0.810,0.853,0.845,0.896,1.065,0.990,0.945,0.984,1.000,1.069,1.123,1.162,1.228,1.293,1.293,1.348,1.648,1.868,1.718,1.716,1.734,2.468,2.340,2.149,2.261,2.369,2.479,2.631,2.696,2.910,2.977,3.110,3.270,3.370,3.374,3.437,3.484,3.611,3.683,3.735,3.617,3.585,3.605,3.734,3.973,3.909,3.699,3.685,3.467,3.690,3.479,3.583,3.522,3.578,3.865,3.777,3.752,3.671,3.703
"    TOTAL MALE POPULATION AGE 77 YEARS (in thousands)","n.a.",0.292,0.287,0.292,0.296,0.285,0.285,0.297,0.321,0.309,0.300,0.326,0.333,0.341,0.350,0.359,0.368,0.378,0.392,0.404,0.420,0.436,0.461,0.488,0.512,0.534,0.556,0.595,0.639,0.717,0.735,0.732,0.694,0.758,0.774,0.820,0.812,0.863,1.013,0.919,0.874,0.924,0.954,1.015,1.077,1.105,1.194,1.247,1.229,1.288,1.579,1.761,1.616,1.641,1.679,2.393,2.269,2.084,2.193,2.296,2.404,2.553,2.617,2.823,2.889,3.017,3.172,3.266,3.274,3.332,3.379,3.502,3.572,3.623,3.508,3.477,3.499,3.628,3.858,3.795,3.592,3.578,3.369,3.588,3.383,3.485,3.427,3.482,3.760,3.673,3.650,3.573
"    TOTAL MALE POPULATION AGE 78 YEARS (in thousands)","n.a.",0.231,0.240,0.243,0.250,0.249,0.249,0.248,0.260,0.282,0.277,0.279,0.286,0.297,0.305,0.315,0.325,0.336,0.349,0.363,0.380,0.399,0.430,0.448,0.479,0.499,0.514,0.539,0.575,0.614,0.666,0.681,0.705,0.677,0.748,0.767,0.788,0.782,0.837,0.964,0.892,0.863,0.886,0.924,0.980,1.049,1.044,1.157,1.211,1.167,1.233,1.514,1.707,1.553,1.599,1.640,2.335,2.214,2.035,2.142,2.244,2.347,2.492,2.556,2.761,2.825,2.947,3.096,3.191,3.197,3.254,3.302,3.423,3.493,3.545,3.433,3.404,3.429,3.555,3.782,3.722,3.525,3.515,3.311,3.523,3.329,3.428,3.370,3.426,3.699,3.611,3.589
"    TOTAL MALE POPULATION AGE 79 YEARS (in thousands)","n.a.",0.230,0.233,0.244,0.244,0.245,0.246,0.240,0.234,0.245,0.264,0.244,0.248,0.256,0.261,0.270,0.281,0.291,0.303,0.314,0.327,0.346,0.371,0.392,0.411,0.436,0.451,0.468,0.486,0.518,0.538,0.586,0.652,0.675,0.633,0.720,0.726,0.772,0.719,0.772,0.897,0.833,0.829,0.853,0.881,0.928,0.985,1.002,1.074,1.128,1.084,1.153,1.405,1.588,1.469,1.512,1.554,2.205,2.093,1.924,2.026,2.122,2.219,2.357,2.418,2.612,2.671,2.786,2.931,3.018,3.025,3.079,3.127,3.240,3.306,3.360,3.257,3.230,3.254,3.375,3.592,3.538,3.355,3.350,3.155,3.357,3.170,3.268,3.213,3.262,3.522,3.439
"  TOTAL MALE POPULATION AGE 80 to 84 YEARS (in thousands)","n.a.",0.788,0.788,0.816,0.848,0.853,0.865,0.892,0.897,0.882,0.882,0.905,0.921,0.937,0.959,0.982,1.018,1.049,1.096,1.143,1.198,1.252,1.310,1.375,1.437,1.531,1.626,1.738,1.813,1.918,1.956,2.013,2.158,2.325,2.471,2.592,2.700,2.858,2.961,2.929,3.028,3.187,3.265,3.319,3.482,3.567,3.623,3.794,3.898,4.036,4.262,4.376,4.507,4.892,5.402,5.764,6.161,6.507,7.286,7.743,8.115,8.529,8.973,9.026,9.284,9.712,10.227,10.703,11.194,11.695,12.206,12.558,12.906,13.190,13.468,13.733,14.029,14.177,14.257,14.277,14.360,14.611,14.877,14.977,15.047,14.830,14.665,14.360,14.305,14.199,14.280,14.476
"    TOTAL MALE POPULATION AGE 80 YEARS (in thousands)","n.a.",0.215,0.201,0.211,0.222,0.219,0.222,0.222,0.214,0.207,0.217,0.238,0.243,0.247,0.251,0.257,0.266,0.276,0.286,0.298,0.311,0.329,0.342,0.368,0.390,0.414,0.445,0.474,0.490,0.519,0.538,0.554,0.554,0.619,0.640,0.574,0.658,0.683,0.697,0.654,0.694,0.804,0.781,0.783,0.819,0.839,0.870,0.946,0.948,1.021,1.069,1.018,1.100,1.355,1.552,1.435,1.477,1.517,2.157,2.047,1.881,1.979,2.072,2.169,2.300,2.362,2.551,2.608,2.721,2.860,2.945,2.951,3.004,3.048,3.162,3.228,3.280,3.177,3.150,3.176,3.294,3.503,3.453,3.274,3.269,3.079,3.277,3.096,3.194,3.138,3.185,3.438
"    TOTAL MALE POPULATION AGE 81 YEARS (in thousands)","n.a.",0.195,0.196,0.189,0.201,0.214,0.215,0.221,0.221,0.216,0.210,0.218,0.220,0.221,0.225,0.226,0.235,0.241,0.250,0.258,0.268,0.275,0.285,0.296,0.311,0.332,0.346,0.371,0.381,0.397,0.400,0.403,0.518,0.534,0.569,0.602,0.539,0.639,0.637,0.656,0.613,0.674,0.748,0.726,0.754,0.779,0.787,0.816,0.881,0.877,0.967,1.006,0.936,0.995,1.237,1.420,1.315,1.354,1.395,1.976,1.877,1.725,1.818,1.903,1.992,2.117,2.171,2.347,2.398,2.501,2.634,2.712,2.721,2.769,2.810,2.920,2.982,3.035,2.944,2.921,2.950,3.064,3.261,3.218,3.062,3.060,2.880,3.065,2.897,2.992,2.937,2.983
"    TOTAL MALE POPULATION AGE 82 YEARS (in thousands)","n.a.",0.150,0.158,0.160,0.148,0.153,0.161,0.158,0.160,0.156,0.147,0.145,0.152,0.156,0.165,0.174,0.182,0.192,0.204,0.216,0.229,0.241,0.253,0.265,0.275,0.300,0.323,0.341,0.367,0.388,0.393,0.412,0.374,0.475,0.504,0.533,0.590,0.538,0.623,0.604,0.638,0.604,0.632,0.702,0.689,0.705,0.737,0.747,0.759,0.811,0.825,0.901,0.918,0.898,0.968,1.205,1.384,1.280,1.318,1.357,1.922,1.825,1.679,1.767,1.850,1.937,2.055,2.110,2.277,2.329,2.429,2.558,2.633,2.639,2.688,2.729,2.831,2.893,2.938,2.850,2.827,2.854,2.962,3.152,3.107,2.953,2.949,2.776,2.955,2.793,2.881,2.831
"    TOTAL MALE POPULATION AGE 83 YEARS (in thousands)","n.a.",0.123,0.128,0.142,0.148,0.136,0.146,0.161,0.158,0.161,0.162,0.160,0.162,0.167,0.171,0.176,0.184,0.187,0.198,0.207,0.218,0.229,0.243,0.247,0.253,0.265,0.280,0.299,0.306,0.327,0.326,0.333,0.380,0.336,0.439,0.469,0.483,0.542,0.507,0.565,0.569,0.592,0.561,0.595,0.667,0.634,0.655,0.679,0.689,0.700,0.758,0.750,0.858,0.858,0.851,0.915,1.139,1.305,1.208,1.244,1.283,1.813,1.726,1.590,1.672,1.751,1.831,1.945,1.999,2.158,2.206,2.300,2.424,2.496,2.504,2.547,2.587,2.687,2.747,2.797,2.714,2.691,2.722,2.826,3.009,2.971,2.827,2.824,2.662,2.834,2.678,2.766
"    TOTAL MALE POPULATION AGE 84 YEARS (in thousands)","n.a.",0.105,0.105,0.114,0.129,0.131,0.121,0.130,0.144,0.142,0.146,0.144,0.144,0.146,0.147,0.149,0.151,0.153,0.158,0.164,0.172,0.178,0.187,0.199,0.208,0.220,0.232,0.253,0.269,0.287,0.299,0.311,0.332,0.361,0.319,0.414,0.430,0.456,0.497,0.450,0.514,0.513,0.543,0.513,0.553,0.610,0.574,0.606,0.621,0.627,0.643,0.701,0.695,0.786,0.794,0.789,0.846,1.051,1.208,1.119,1.152,1.187,1.678,1.597,1.470,1.545,1.619,1.693,1.799,1.847,1.992,2.037,2.124,2.238,2.304,2.309,2.349,2.385,2.478,2.533,2.575,2.499,2.479,2.507,2.600,2.767,2.732,2.599,2.597,2.442,2.599,2.458
"  TOTAL MALE POPULATION AGE 85 YEARS and OVER (in thousands)","n.a.",0.388,0.401,0.421,0.447,0.472,0.506,0.524,0.549,0.572,0.596,0.605,0.606,0.604,0.603,0.605,0.610,0.617,0.628,0.629,0.645,0.666,0.702,0.744,0.789,0.839,0.893,0.955,1.026,1.114,1.182,1.251,1.346,1.401,1.469,1.580,1.725,1.919,2.027,2.187,2.279,2.397,2.531,2.678,2.757,2.895,3.012,3.118,3.210,3.266,3.392,3.508,3.492,3.590,3.771,3.953,4.153,4.361,4.619,4.973,5.267,5.556,5.832,6.446,6.944,7.404,7.859,8.279,8.695,9.123,9.569,10.050,10.499,10.969,11.418,11.849,12.306,12.691,13.011,13.308,13.584,13.793,13.858,13.875,13.890,13.962,14.154,14.299,14.300,14.210,14.101,14.081
"TOTAL MALE POPULATION MEDIAN AGE (in years)","n.a.",25.32,25.10,25.09,25.27,25.42,25.57,25.73,25.89,26.07,26.25,26.46,26.77,27.09,27.40,27.74,28.09,28.45,28.78,29.08,29.40,29.81,30.13,30.47,30.78,31.03,31.21,31.43,31.61,31.82,31.92,31.98,32.24,32.48,32.72,32.84,32.95,33.05,33.20,33.43,33.80,34.08,34.47,34.81,35.18,35.47,35.78,36.07,36.33,36.58,36.86,37.13,37.13,37.27,37.38,37.44,37.48,37.51,37.49,37.54,37.61,37.68,37.79,37.89,38.01,38.15,38.30,38.46,38.63,38.75,38.88,39.03,39.18,39.32,39.47,39.60,39.75,39.88,39.97,40.04,40.09,40.12,40.15,40.17,40.18,40.16,40.11,40.07,40.00,39.85,39.66,39.58
"TOTAL FEMALE POPULATION, ALL AGES (in thousands)","n.a.",124.022,126.445,131.438,136.752,139.892,144.771,149.054,152.927,156.060,159.242,162.647,163.464,163.372,163.715,164.552,165.799,167.548,170.122,172.723,175.771,180.045,184.305,188.609,194.829,201.692,209.354,217.699,225.723,234.074,243.475,254.097,265.217,277.485,290.365,303.419,314.472,326.026,332.820,336.961,339.284,341.684,342.793,344.320,345.171,346.312,347.182,349.011,350.309,350.932,351.046,350.839,352.155,351.692,356.229,360.774,365.323,369.960,374.561,379.161,383.794,388.458,393.059,397.672,402.264,406.750,411.222,415.687,420.174,424.617,429.072,433.486,437.893,442.253,446.610,450.936,455.273,459.603,463.957,468.330,472.789,477.328,481.901,486.504,491.202,495.944,500.794,505.721,510.746,515.982,521.245,526.665
"  TOTAL FEMALE POPULATION AGE UNDER 5 YEARS (in thousands)","n.a.",11.445,11.662,12.003,12.300,12.303,12.421,12.385,12.649,13.039,13.569,14.068,14.219,14.193,14.202,14.120,14.071,14.035,14.043,14.089,14.288,14.536,15.141,15.721,16.352,17.035,17.664,18.231,18.722,19.174,19.837,20.636,21.308,22.358,23.129,24.070,24.733,25.367,25.504,25.410,24.557,23.887,22.831,21.922,21.088,20.476,20.176,20.281,20.059,20.025,19.887,19.542,19.334,19.311,19.633,20.208,20.392,20.663,20.874,21.131,21.373,21.623,21.882,22.161,22.457,22.756,23.055,23.340,23.612,23.877,24.122,24.356,24.574,24.762,24.927,25.088,25.229,25.378,25.542,25.707,25.869,26.041,26.210,26.390,26.589,26.794,27.027,27.269,27.537,27.835,28.160,28.500
"    TOTAL FEMALE POPULATION AGE UNDER 1 YEAR (in thousands)","n.a.",2.226,2.309,2.199,2.160,2.162,2.301,2.339,2.516,2.605,2.725,2.864,2.870,2.849,2.812,2.725,2.787,2.789,2.790,2.825,2.903,3.038,3.115,3.167,3.202,3.277,3.369,3.434,3.528,3.613,3.793,4.017,4.100,4.418,4.311,4.667,4.537,4.747,4.871,4.790,4.582,4.373,3.988,3.938,3.782,3.746,3.873,3.978,3.657,3.720,3.587,3.517,3.893,3.940,3.948,4.009,4.055,4.103,4.148,4.198,4.245,4.300,4.360,4.422,4.483,4.537,4.591,4.642,4.693,4.742,4.778,4.818,4.846,4.870,4.891,4.920,4.950,4.982,5.012,5.036,5.070,5.103,5.140,5.179,5.222,5.264,5.323,5.375,5.441,5.514,5.586,5.662
"    TOTAL FEMALE POPULATION AGE 1 YEAR (in thousands)","n.a.",2.237,2.334,2.470,2.354,2.271,2.296,2.430,2.461,2.627,2.710,2.830,2.877,2.851,2.826,2.784,2.692,2.746,2.750,2.739,2.763,2.830,3.031,3.126,3.210,3.284,3.399,3.512,3.585,3.688,3.821,4.008,4.332,4.437,4.626,4.553,5.068,4.878,4.850,4.925,4.776,4.611,4.465,4.104,4.009,3.857,3.841,3.902,4.095,3.800,3.839,3.745,3.993,3.900,4.007,4.017,4.077,4.125,4.172,4.219,4.269,4.317,4.372,4.431,4.496,4.556,4.612,4.664,4.717,4.768,4.820,4.856,4.899,4.927,4.953,4.978,5.007,5.038,5.075,5.105,5.129,5.166,5.201,5.239,5.279,5.322,5.368,5.426,5.478,5.546,5.617,5.691
"    TOTAL FEMALE POPULATION AGE 2 YEARS (in thousands)","n.a.",2.269,2.337,2.484,2.624,2.453,2.388,2.396,2.517,2.525,2.691,2.754,2.791,2.823,2.808,2.794,2.766,2.685,2.756,2.760,2.754,2.786,2.922,3.113,3.241,3.357,3.456,3.584,3.695,3.757,3.894,4.044,4.169,4.566,4.650,4.791,4.811,5.279,4.920,4.853,4.888,4.753,4.614,4.491,4.156,4.140,3.936,4.005,4.049,4.183,3.948,3.923,3.624,3.999,3.963,4.070,4.077,4.138,4.187,4.235,4.283,4.332,4.380,4.438,4.499,4.565,4.627,4.682,4.733,4.787,4.837,4.889,4.928,4.971,5.003,5.031,5.054,5.086,5.120,5.159,5.189,5.215,5.254,5.290,5.328,5.369,5.414,5.460,5.519,5.569,5.637,5.708
"    TOTAL FEMALE POPULATION AGE 3 YEARS (in thousands)","n.a.",2.312,2.295,2.425,2.593,2.710,2.573,2.507,2.515,2.641,2.661,2.836,2.819,2.848,2.901,2.905,2.907,2.891,2.828,2.912,2.932,2.940,3.068,3.190,3.417,3.568,3.703,3.797,3.916,4.001,4.081,4.210,4.256,4.445,4.824,4.932,5.123,5.106,5.548,5.186,5.048,4.999,4.769,4.615,4.507,4.206,4.274,4.073,4.145,4.110,4.278,4.049,3.855,3.617,4.046,4.010,4.118,4.123,4.186,4.235,4.283,4.331,4.380,4.431,4.488,4.549,4.615,4.677,4.730,4.785,4.839,4.890,4.943,4.983,5.028,5.060,5.087,5.113,5.147,5.183,5.221,5.255,5.280,5.319,5.356,5.397,5.438,5.483,5.528,5.588,5.642,5.710
"    TOTAL FEMALE POPULATION AGE 4 YEARS (in thousands)","n.a.",2.401,2.387,2.425,2.569,2.707,2.863,2.713,2.640,2.641,2.782,2.784,2.862,2.822,2.855,2.912,2.919,2.924,2.919,2.853,2.936,2.942,3.005,3.125,3.282,3.549,3.737,3.904,3.998,4.115,4.248,4.357,4.451,4.492,4.718,5.127,5.194,5.357,5.315,5.656,5.263,5.151,4.995,4.774,4.634,4.527,4.252,4.323,4.113,4.212,4.235,4.308,3.969,3.855,3.669,4.102,4.065,4.174,4.181,4.244,4.293,4.343,4.390,4.439,4.491,4.549,4.610,4.675,4.739,4.795,4.848,4.903,4.958,5.011,5.052,5.099,5.131,5.159,5.188,5.224,5.260,5.302,5.335,5.363,5.404,5.442,5.484,5.525,5.571,5.618,5.678,5.729
"  TOTAL FEMALE POPULATION AGE 5 to 9 YEARS (in thousands)","n.a.",14.008,13.727,13.736,13.750,13.627,13.852,14.258,14.445,14.474,14.402,14.280,13.673,13.371,13.296,13.416,13.601,13.911,14.209,14.496,14.670,14.768,15.089,15.280,15.667,16.338,17.209,18.216,19.219,20.013,20.975,21.711,22.571,23.458,24.090,24.660,25.455,26.139,26.560,27.070,27.404,27.169,26.554,26.159,25.456,24.897,24.379,23.693,23.115,22.445,22.088,21.810,21.437,20.930,20.794,20.410,20.388,20.281,20.540,20.877,21.474,21.664,21.951,22.176,22.450,22.707,22.977,23.253,23.542,23.851,24.164,24.480,24.785,25.088,25.384,25.661,25.932,26.180,26.402,26.608,26.800,26.991,27.193,27.390,27.593,27.794,27.990,28.189,28.392,28.611,28.828,29.070
"    TOTAL FEMALE POPULATION AGE 5 YEARS (in thousands)","n.a.",2.669,2.534,2.549,2.571,2.655,2.807,2.934,2.750,2.640,2.626,2.737,2.657,2.722,2.703,2.751,2.821,2.843,2.871,2.874,2.821,2.912,2.970,3.016,3.152,3.328,3.616,3.807,3.949,3.984,4.171,4.322,4.556,4.603,4.602,4.817,5.179,5.310,5.299,5.250,5.495,5.190,5.131,4.984,4.795,4.669,4.590,4.283,4.358,4.175,4.230,4.340,4.245,3.940,3.883,3.699,4.130,4.093,4.203,4.210,4.275,4.323,4.373,4.423,4.473,4.523,4.582,4.645,4.711,4.774,4.830,4.887,4.942,4.997,5.053,5.094,5.143,5.176,5.206,5.238,5.272,5.313,5.356,5.391,5.422,5.462,5.500,5.543,5.587,5.633,5.679,5.740
